participant_id,gender,age,year in program,pap_1,mav_5,map_1,mav_1,pav_1,pap_2,map_2,mav_2,pav_2,pap_3,mav_6,map_3,mav_3,pav_3,pap_4,map_4,mav_7,mav_4,pav_4,engage_1,exh_1_RC,engage_2,engage_3,engage_4,exh_2_RC,exh_6_RC,exh_8,exh_3,engage_5_RC,exh_5,engage_6_RC,engage_7_RC,exh_7,engage_8_RC,exh_4_RC,sc_1_RC,sc_2,sc_3,sc_4_RC,sc_5,sc_6,sc_7,sc_8_RC,sc_9_RC,sc_10,sc_11_RC,sc_12_RC,auto_1,auto_2,auto_3,auto_4,compet_1,compet_2,compet_3,compet_4,relat_1,relat_2,relat_3,relat_4,exercise_mild,exercise_mod,exercise_str,auto,compet,engage,exercise,exh,map,mav,pap,pav,relat,sc
28,female,20-24,1,5,6,5,7,3,5,6,5,5,3,6,5,6,2,3,5,4,2,3,3,2,4,3,3,3,3,4,3,3,3,3,3,4,3,2,2,2,3,2,2,2,2,1,1,1,2,1,3,4,4,2,4,4,4,4,4,4,5,5,2,1,1,13,16,25,4,24,21,36,16,13,18,21
29,female,20-24,1,6,3,5,4,3,2,6,2,4,3,5,6,5,2,4,6,5,2,5,4,2,3,3,4,2,3,3,2,3,3,3,3,4,3,2,1,3,3,2,3,2,4,2,2,3,1,1,4,5,5,4,5,4,4,4,5,5,6,6,3,0,1,18,17,26,4,21,23,26,15,14,22,27
30,female,20-24,1,6,5,5,7,5,4,3,5,5,4,5,5,3,4,1,5,6,2,3,4,2,4,3,4,2,4,4,3,3,3,3,4,4,3,2,1,3,2,2,3,2,2,3,2,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,1,0,0,17,20,28,1,24,18,33,15,17,20,29
31,female,20-24,1,5,5,3,7,3,5,5,5,4,2,3,5,3,2,3,5,5,3,2,3,2,2,4,3,3,3,2,3,4,3,4,4,3,4,1,3,4,3,4,4,5,4,4,2,4,4,4,5,6,5,4,5,4,5,4,6,6,6,6,1,1,1,20,18,28,3,20,18,31,15,11,24,45
32,male,30-34,1,5,3,6,6,3,4,6,6,3,3,5,5,6,2,1,4,3,3,3,3,2,1,2,2,4,3,3,3,2,3,1,2,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,2,5,5,4,4,3,4,4,5,5,5,5,2,1,1,16,15,16,4,24,21,32,13,11,20,48
33,female,20-24,1,5,6,5,5,5,6,5,6,5,6,5,5,5,5,3,3,6,5,5,3,2,2,3,2,2,2,2,2,2,2,3,3,4,3,2,1,3,3,1,2,3,4,2,1,4,1,2,5,5,5,4,5,4,5,4,4,4,4,5,1,1,2,19,18,21,4,18,18,38,20,20,17,27
34,female,20-24,1,6,4,5,6,3,6,5,5,3,5,2,6,3,1,4,5,4,2,3,4,2,4,4,4,2,3,1,3,3,3,4,4,4,4,2,2,3,4,3,4,4,4,4,2,5,4,4,5,5,6,5,6,6,5,5,6,5,6,6,1,1,0,21,22,31,2,20,21,26,21,10,23,43
35,female,20-24,1,5,6,4,6,6,5,4,5,5,5,4,5,3,3,5,5,5,4,5,3,2,2,3,3,2,2,2,3,3,3,3,3,3,3,2,3,2,3,4,3,4,4,3,3,4,3,3,5,5,4,3,5,4,5,4,5,5,5,5,1,0,1,17,18,23,2,19,18,33,20,19,20,39
36,female,20-24,1,7,7,7,7,5,4,6,3,5,5,7,7,5,2,1,7,7,2,3,4,2,4,4,4,2,2,1,2,2,3,4,4,4,3,2,1,2,3,1,2,2,1,1,2,1,1,2,3,5,5,5,5,4,5,5,5,3,5,6,1,0,1,18,19,29,2,18,27,38,17,15,19,19
37,male,20-24,1,5,5,6,5,3,4,6,5,5,5,5,7,3,2,5,6,5,3,3,3,2,1,4,4,2,2,3,3,3,3,2,4,3,3,2,4,4,4,2,5,4,4,3,5,3,4,4,3,4,2,4,5,4,5,5,5,5,6,6,3,3,3,13,19,24,9,20,25,31,19,13,22,46
